filename, start label, end label, num float ops, num branches, num operands, num memory ops, num unique predicates, trip count, num uses, num blocks in lp, loop depth, function name, unroll factor
LLVM-IR-DATA/xgboost.ll, %27, %117, 0,9,164,56,3,32,82,9,2, predict, 40
LLVM-IR-DATA/xgboost.ll, %124, %147, 0,5,40,11,2,32,18,5,1, predict, 9
LLVM-IR-DATA/xgboost.ll, %44, %84, 0,5,61,21,2,32,35,5,3, predict, 5
LLVM-IR-DATA/2mm.ll, %43, %78, 1,3,56,18,1,32,33,3,3, kernel_2mm, 25
LLVM-IR-DATA/2mm.ll, %107, %140, 0,3,53,17,1,32,31,3,3, kernel_2mm, 36
LLVM-IR-DATA/3mm.ll, %45, %78, 0,3,53,17,1,32,31,3,3, kernel_3mm, 40
LLVM-IR-DATA/3mm.ll, %104, %137, 0,3,53,17,1,32,31,3,3, kernel_3mm, 40
LLVM-IR-DATA/3mm.ll, %163, %196, 0,3,53,17,1,32,31,3,3, kernel_3mm, 36
LLVM-IR-DATA/adi.ll, %12, %36, 1,3,38,12,1,32,21,3,2, init_array, 25
LLVM-IR-DATA/adi.ll, %96, %194, 7,3,159,45,1,32,95,3,3, kernel_adi, 2
LLVM-IR-DATA/adi.ll, %205, %245, 0,3,64,19,1,32,37,3,3, kernel_adi, 2
LLVM-IR-DATA/adi.ll, %277, %375, 7,3,159,45,1,32,95,3,3, kernel_adi, 2
LLVM-IR-DATA/adi.ll, %386, %426, 0,3,64,19,1,32,37,3,3, kernel_adi, 2
LLVM-IR-DATA/bicg.ll, %13, %32, 1,3,30,10,1,32,16,3,1, init_array, 10
LLVM-IR-DATA/bicg.ll, %49, %74, 1,3,40,12,1,32,22,3,2, init_array, 20
LLVM-IR-DATA/bicg.ll, %39, %93, 0,3,82,30,1,32,51,3,2, kernel_bicg, 20
LLVM-IR-DATA/cholesky.ll, %106, %139, 0,3,54,17,1,32,31,3,3, init_array, 25
LLVM-IR-DATA/cholesky.ll, %153, %176, 0,3,38,12,1,32,20,3,2, init_array, 50
LLVM-IR-DATA/correlation.ll, %16, %38, 2,3,36,10,1,32,19,3,2, init_array, 25
LLVM-IR-DATA/correlation.ll, %28, %50, 1,3,35,12,1,32,20,3,2, kernel_correlation, 56
LLVM-IR-DATA/correlation.ll, %71, %113, 2,3,64,22,1,32,40,3,2, kernel_correlation, 40
LLVM-IR-DATA/correlation.ll, %160, %199, 3,3,61,21,1,32,38,3,2, kernel_correlation, 20
LLVM-IR-DATA/correlation.ll, %231, %264, 0,3,53,17,1,32,31,3,3, kernel_correlation, 40
LLVM-IR-DATA/covariance.ll, %18, %38, 2,3,33,9,1,32,17,3,2, init_array, 30
LLVM-IR-DATA/covariance.ll, %25, %47, 1,3,35,12,1,32,20,3,2, kernel_covariance, 56
LLVM-IR-DATA/covariance.ll, %64, %86, 1,3,35,12,1,32,20,3,2, kernel_covariance, 48
LLVM-IR-DATA/covariance.ll, %109, %142, 0,3,53,17,1,32,31,3,3, kernel_covariance, 40
LLVM-IR-DATA/deriche.ll, %19, %42, 1,3,39,10,1,32,20,3,2, init_array, 27
LLVM-IR-DATA/deriche.ll, %95, %146, 1,3,87,31,1,32,48,3,2, kernel_deriche, 27
LLVM-IR-DATA/deriche.ll, %158, %202, 1,3,79,29,1,32,41,3,2, kernel_deriche, 30
LLVM-IR-DATA/deriche.ll, %212, %246, 2,3,53,17,1,32,31,3,2, kernel_deriche, 36
LLVM-IR-DATA/deriche.ll, %256, %307, 1,3,87,31,1,32,48,3,2, kernel_deriche, 16
LLVM-IR-DATA/deriche.ll, %319, %363, 1,3,79,29,1,32,41,3,2, kernel_deriche, 32
LLVM-IR-DATA/deriche.ll, %373, %407, 2,3,53,17,1,32,31,3,2, kernel_deriche, 36
LLVM-IR-DATA/doitgen.ll, %74, %97, 0,3,37,12,1,32,20,3,3, kernel_doitgen, 160
LLVM-IR-DATA/doitgen.ll, %36, %69, 0,3,53,17,1,32,31,3,4, kernel_doitgen, 40
LLVM-IR-DATA/doitgen.ll, %24, %53, 1,3,46,14,1,32,26,3,3, init_array, 20
LLVM-IR-DATA/durbin.ll, %7, %24, 0,3,28,9,1,32,14,3,1, init_array, 25
LLVM-IR-DATA/durbin.ll, %23, %120, 5,15,168,58,0,32,82,15,1, kernel_durbin, 2
LLVM-IR-DATA/fdtd-2d.ll, %37, %93, 6,3,86,25,1,32,53,3,2, init_array, 10
LLVM-IR-DATA/fdtd-2d.ll, %23, %41, 0,3,30,10,1,32,15,3,2, kernel_fdtd_2d, 80
LLVM-IR-DATA/fdtd-2d.ll, %47, %89, 1,3,67,20,1,32,39,3,3, kernel_fdtd_2d, 25
LLVM-IR-DATA/fdtd-2d.ll, %99, %141, 1,3,67,20,1,32,39,3,3, kernel_fdtd_2d, 11
LLVM-IR-DATA/fdtd-2d.ll, %94, %145, 1,7,84,25,0,32,44,7,2, kernel_fdtd_2d, 2
LLVM-IR-DATA/fdtd-2d.ll, %152, %214, 3,3,97,28,1,32,59,3,3, kernel_fdtd_2d, 11
LLVM-IR-DATA/gemm.ll, %26, %51, 1,3,40,12,1,32,22,3,2, init_array, 20
LLVM-IR-DATA/gemm.ll, %61, %86, 1,3,40,12,1,32,22,3,2, init_array, 20
LLVM-IR-DATA/gemm.ll, %96, %121, 1,3,40,12,1,32,22,3,2, init_array, 20
LLVM-IR-DATA/gemm.ll, %25, %43, 1,3,30,10,1,32,16,3,2, kernel_gemm, 55
LLVM-IR-DATA/gemver.ll, %101, %125, 1,3,38,12,1,32,21,3,2, init_array, 20
LLVM-IR-DATA/gemver.ll, %32, %77, 0,3,69,24,1,32,42,3,2, kernel_gemver, 25
LLVM-IR-DATA/gemver.ll, %87, %120, 1,3,51,18,1,32,30,3,2, kernel_gemver, 40
LLVM-IR-DATA/gemver.ll, %125, %148, 1,3,35,13,1,32,20,3,1, kernel_gemver, 25
LLVM-IR-DATA/gemver.ll, %154, %187, 1,3,51,18,1,32,30,3,2, kernel_gemver, 40
LLVM-IR-DATA/gesummv.ll, %33, %75, 2,3,66,20,1,32,39,3,2, init_array, 10
