model,fold1,fold2,fold3,fold4,fold5,highest,mean
llm-compiler-0.25,0.125,0,0.125,0.125,0,0.125,0.075
qwen2.5-0.25,0,0.25,0,0,0.25,0.25,0.1
deepseekR1-0.25,0,0.125,0,0,0.125,0.125,0.05
llm-compiler-0.5,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.0875
qwen2.5-0.5,0.0625,0.0625,0,0.125,0.125,0.125,0.075
deepseekR1-0.5,0,0.0625,0.0625,0.0625,0.1875,0.1875,0.075
llm-compiler-1.0,0.1154,0.2692,0.1538,0.2308,0.1923,0.2692,0.1923
qwen2.5-1.0,0.0769,0.0385,0.1923,0.1923,0.0769,0.1923,0.11538
deepseekR1-1.0,0.3077,0.1538,0.1154,0.0769,0.1538,0.3077,0.16152
